URL,Event ID,Event Name,Organizer Phone,Organizer Email,Organizer Website,Scraped At,Success
https://eventick.com.ar/evento/221,221,Media Maratón Ciudad de La Plata 2025,+54 01146862070,info@sportsfacilities.com.ar,https://mediamaratonlaplata.com.ar/,2025-08-12T01:22:04.522Z,true
https://eventick.com.ar/evento/222,222,Maratón Internacional de la Bandera 2025,+54 1146862070,info@42krosario.com.ar,https://42krosario.com.ar/,2025-08-12T01:22:04.591Z,true
https://eventick.com.ar/evento/238,238,NB 21K Comodoro Rivadavia 2025,+54 01146862070,info@sportsfacilities.com.ar,https://raceseries.newbalance.com.ar/,2025-08-12T01:22:04.597Z,true
https://eventick.com.ar/evento/243,243,NB Trail Tandil 2025,+54 01146862070,info@sportsfacilities.com.ar,https://raceseries.newbalance.com.ar/,2025-08-12T01:22:06.858Z,true
https://eventick.com.ar/evento/248,248,NB 42K Córdoba 2025,+54 01146862070,info@sportsfacilities.com.ar,https://raceseries.newbalance.com.ar/,2025-08-12T01:22:06.819Z,true
https://eventick.com.ar/evento/258,258,NB 21K Mar del Plata 2025,+54 01146862070,info@sportsfacilities.com.ar,https://raceseries.newbalance.com.ar/,2025-08-12T01:22:06.697Z,true
https://eventick.com.ar/evento/263,263,NB 25K Buenos Aires 2025,+54 01146862070,info@sportsfacilities.com.ar,https://raceseries.newbalance.com.ar/,2025-08-12T01:22:09.945Z,true
https://eventick.com.ar/evento/268,268,NB 30K Buenos Aires 2025,+54 01146862070,info@sportsfacilities.com.ar,https://raceseries.newbalance.com.ar/,2025-08-12T01:22:10.072Z,true
https://eventick.com.ar/evento/273,273,NB 15K Buenos Aires 2025,+54 01146862070,info@sportsfacilities.com.ar,https://raceseries.newbalance.com.ar/,2025-08-12T01:22:09.948Z,true
https://eventick.com.ar/evento/278,278,NB Milla Urbana 2025,+54 01146862070,info@sportsfacilities.com.ar,https://raceseries.newbalance.com.ar/,2025-08-12T01:22:12.686Z,true
https://eventick.com.ar/evento/293,293,9K Independencia 2025,+54 01146862070,info@sportsfacilities.com.ar,https://9kindependencia.com.ar/,2025-08-12T01:22:12.822Z,true
https://eventick.com.ar/evento/307,307,Maratón Delfo Cabrera 2025,+54 3471-680127,rosanasiri@armstrong.gov.ar,https://armstrong.gov.ar/,2025-08-12T01:22:12.545Z,true
https://eventick.com.ar/evento/312,312,Duatlon Buenos Aires Junio 2025,+54 sin numero,info@crossports.com.ar,https://www.crossports.com.ar/duatlon2025,2025-08-12T01:22:15.670Z,true
https://eventick.com.ar/evento/313,313,15K Under Armour 2025,+54 1146862070,info@sportsfacilities.com.ar,https://15kunderarmour.com/,2025-08-12T01:22:15.244Z,true
https://eventick.com.ar/evento/318,318,Bimbo Global Race 2025,+54 1146862070,info@sportsfacilities.com.ar,https://bimboglobalrace.com.ar/,2025-08-12T01:22:15.541Z,true
https://eventick.com.ar/evento/320,320,Duatlon Buenos Aires Agosto 2025,+54 sin numero,info@crossports.com.ar,https://www.crossports.com.ar/duatlon2025,2025-08-12T01:22:18.398Z,true
https://eventick.com.ar/evento/325,325,DOGRUN 2025,+54 1146862070,inscripciones@dogrun.com.ar,https://dogrun.com.ar/,2025-08-12T01:22:18.234Z,true
